0 0 0 -nan inf inf -nan -nan 0 0
1.88 1.023 0.165731 4.93662 3.37375 1.29371 1.62819e-05 -9.73587e-06 0.269439 1.62086
1.89 1.02866 0.166318 4.91232 3.35156 1.27639 1.6393e-05 -9.80217e-06 0.270814 1.62373
1.9 1.03433 0.166904 4.88826 3.3296 1.25927 1.65042e-05 -9.86857e-06 0.272189 1.62659
1.91 1.04 0.16749 4.86444 3.30789 1.24236 1.66156e-05 -9.93507e-06 0.273564 1.62944
1.92 1.04567 0.168074 4.84087 3.28641 1.22565 1.67271e-05 -1.00017e-05 0.274938 1.63228
1.93 1.05135 0.168657 4.81754 3.26516 1.20914 1.68388e-05 -1.00684e-05 0.276311 1.63511
1.94 1.05702 0.169239 4.79444 3.24414 1.19282 1.69507e-05 -1.01352e-05 0.277684 1.63793
1.95 1.0627 0.16982 4.77157 3.22334 1.17669 1.70628e-05 -1.02021e-05 0.279057 1.64074
1.96 1.06838 0.1704 4.74893 3.20277 1.16075 1.7175e-05 -1.02691e-05 0.280429 1.64354
1.97 1.07406 0.170979 4.72651 3.18241 1.145 1.72874e-05 -1.03362e-05 0.281801 1.64633
1.98 1.07974 0.171557 4.70431 3.16226 1.12942 1.74e-05 -1.04034e-05 0.283172 1.64911
1.99 1.08543 0.172134 4.68233 3.14233 1.11403 1.75128e-05 -1.04708e-05 0.284543 1.65188
2 1.09112 0.17271 4.66056 3.1226 1.09881 1.76258e-05 -1.05382e-05 0.285913 1.65464
2.01 1.0968 0.173286 4.639 3.10308 1.08376 1.7739e-05 -1.06058e-05 0.287283 1.6574
2.02 1.10249 0.17386 4.61765 3.08376 1.06889 1.78523e-05 -1.06735e-05 0.288652 1.66014
2.03 1.10819 0.174433 4.5965 3.06463 1.05418 1.79659e-05 -1.07413e-05 0.290021 1.66287
2.04 1.11388 0.175006 4.57556 3.04571 1.03964 1.80796e-05 -1.08092e-05 0.29139 1.6656
2.05 1.11958 0.175577 4.55481 3.02697 1.02527 1.81936e-05 -1.08772e-05 0.292758 1.66832
2.06 1.12528 0.176148 4.53426 3.00842 1.01105 1.83077e-05 -1.09453e-05 0.294126 1.67103
2.07 1.13098 0.176717 4.51391 2.99006 0.996988 1.84221e-05 -1.10136e-05 0.295493 1.67373
2.08 1.13668 0.177286 4.49374 2.97189 0.983083 1.85367e-05 -1.1082e-05 0.296859 1.67642
2.09 1.14238 0.177854 4.47376 2.95389 0.969332 1.86514e-05 -1.11505e-05 0.298226 1.6791
